"","SurveyID","ProjectID","LocationName","Date","Collectors","Longitude","Latitude","SurveyTypeID","Plot.Name","SpeciesVarietalCode","SpeciesVarietalName","Measurement","CanopyID","Woody_DBH_cm","Woody_Height_m","ProjCode","Genus"
"28",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",19,"",11.5,3.78,"HEROW","Salix"
"29",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","POFR","Populus fremontii",20,"",99.8,13.48,"HEROW","Populus"
"30",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",21,"",7.02,1.27,"HEROW","Acer"
"31",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",22,"",5.6,2.3,"HEROW","Acer"
"32",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",23,"",6,1.84,"HEROW","Salix"
"33",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",24,"",13.5,1.5,"HEROW","Salix"
"34",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",25,"",19.8,6,"HEROW","Salix"
"35",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",26,"",7.2,2.31,"HEROW","Salix"
"36",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",27,"",6.6,2.31,"HEROW","Salix"
"37",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",28,"",13.2,3.2,"HEROW","Salix"
"38",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",29,"",13.7,3.91,"HEROW","Salix"
"39",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",30,"",42,2,"HEROW","Salix"
"40",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",31,"",6.6,4.22,"HEROW","Salix"
"41",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",32,"",7.6,4.22,"HEROW","Salix"
"42",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",33,"",6.5,4.22,"HEROW","Salix"
"43",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",34,"",40,4.22,"HEROW","Salix"
"44",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",35,"",7.4,4.22,"HEROW","Salix"
"45",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",36,"",10.3,4.22,"HEROW","Salix"
"46",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",37,"",8.5,4.22,"HEROW","Salix"
"47",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",38,"",8.5,4.22,"HEROW","Salix"
"48",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",39,"",6.5,4.22,"HEROW","Salix"
"49",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",40,"",9,4.22,"HEROW","Salix"
"50",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",41,"",5.1,4.22,"HEROW","Salix"
"51",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",42,"",16,4.22,"HEROW","Acer"
"52",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",43,"",5,4.22,"HEROW","Acer"
"53",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",44,"",5.9,4.22,"HEROW","Acer"
"54",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",45,"",5.8,4.22,"HEROW","Salix"
"55",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",46,"",6,4.22,"HEROW","Salix"
"56",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",47,"",5.2,4.22,"HEROW","Salix"
"57",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",48,"",7.8,4.22,"HEROW","Salix"
"58",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",49,"",46,3.89,"HEROW","Salix"
"59",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",50,"",6.6,1.42,"HEROW","Salix"
"60",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",51,"",7.9,3.8,"HEROW","Salix"
"61",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",52,"",18.5,6.83,"HEROW","Acer"
"62",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",53,"",15.4,6.66,"HEROW","Acer"
"63",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",54,"",24.9,6.66,"HEROW","Acer"
"64",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",55,"",8.2,6.66,"HEROW","Acer"
"65",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",56,"",14.3,2.23,"HEROW","Acer"
"66",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",57,"",8.7,3.69,"HEROW","Acer"
"67",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",58,"",10.2,1.03,"HEROW","Acer"
"68",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",59,"",17,5.38,"HEROW","Acer"
"69",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",60,"",5.7,5.38,"HEROW","Acer"
"70",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","FRLA","Fraxinus latifolia",9,"",7,4.4,"HEROW","Fraxinus"
"72",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","QULO","Quercus lobata",21,"",18.9,8.1,"HEROW","Quercus"
"77",8,"Heritage Oak Winery","RIP03","3/20/2012","N. Suzuki, B. Harlan,M. Vaghti, J. Romero",-121.19,38.16,"Plant","RIP03","QULO","Quercus lobata",5,"",64.5,37,"HEROW","Quercus"
"95",8,"Heritage Oak Winery","RIP03","3/20/2012","N. Suzuki, B. Harlan,M. Vaghti, J. Romero",-121.19,38.16,"Plant","RIP03","QULO","Quercus lobata",23,"",89.8,24.98,"HEROW","Quercus"
"96",8,"Heritage Oak Winery","RIP03","3/20/2012","N. Suzuki, B. Harlan,M. Vaghti, J. Romero",-121.19,38.16,"Plant","RIP03","QULO","Quercus lobata",24,"",83,24.83,"HEROW","Quercus"
"107",8,"Heritage Oak Winery","RIP03","3/20/2012","N. Suzuki, B. Harlan,M. Vaghti, J. Romero",-121.19,38.16,"Plant","RIP03","QULO","Quercus lobata",35,"",139.4,19.9,"HEROW","Quercus"
"108",8,"Heritage Oak Winery","RIP03","3/20/2012","N. Suzuki, B. Harlan,M. Vaghti, J. Romero",-121.19,38.16,"Plant","RIP03","QULO","Quercus lobata",36,"",75.5,16.9,"HEROW","Quercus"
"117",8,"Heritage Oak Winery","RIP03","3/20/2012","N. Suzuki, B. Harlan,M. Vaghti, J. Romero",-121.19,38.16,"Plant","RIP03","ACNE","Acer negundo",21,"",7.02,1.27,"HEROW","Acer"
"118",8,"Heritage Oak Winery","RIP03","3/20/2012","N. Suzuki, B. Harlan,M. Vaghti, J. Romero",-121.19,38.16,"Plant","RIP03","FRLA","Fraxinus latifolia",9,"",7,4.4,"HEROW","Fraxinus"
"120",8,"Heritage Oak Winery","RIP03","3/20/2012","N. Suzuki, B. Harlan,M. Vaghti, J. Romero",-121.19,38.16,"Plant","RIP03","POFR","Populus fremontii",1,"",28.7,20,"HEROW","Populus"
"121",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",1,"",8.5,5.91,"HEROW","Populus"
"122",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",2,"",7.8,5.91,"HEROW","Populus"
"123",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",3,"",10.2,5.91,"HEROW","Populus"
"124",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",4,"",5.4,5.91,"HEROW","Populus"
"125",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",5,"",6.9,5.91,"HEROW","Populus"
"126",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",6,"",5.2,5.91,"HEROW","Populus"
"127",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",7,"",6.1,5.91,"HEROW","Populus"
"128",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",8,"",5,5.91,"HEROW","Populus"
"129",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",9,"",6.7,5.91,"HEROW","Populus"
"130",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",10,"",6.1,5.91,"HEROW","Populus"
"131",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",11,"",5.4,5.91,"HEROW","Populus"
"132",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",12,"",5,5.91,"HEROW","Populus"
"133",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",13,"",8.8,5.91,"HEROW","Populus"
"134",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",14,"",9.5,5.91,"HEROW","Populus"
"135",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",15,"",7,5.91,"HEROW","Populus"
"136",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",16,"",6.9,5.91,"HEROW","Populus"
"137",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",17,"",10.5,5.91,"HEROW","Populus"
"138",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",18,"",7.1,5.91,"HEROW","Populus"
"139",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",19,"",5.8,5.91,"HEROW","Populus"
"140",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",20,"",5.8,5.91,"HEROW","Populus"
"141",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",21,"",5.5,5.91,"HEROW","Populus"
"142",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",22,"",5,5.91,"HEROW","Populus"
"143",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",23,"",5.3,5.91,"HEROW","Populus"
"144",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",24,"",7.2,5.91,"HEROW","Populus"
"145",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",25,"",9.3,5.91,"HEROW","Populus"
"146",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",26,"",5.2,5.91,"HEROW","Populus"
"147",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",27,"",6.2,5.91,"HEROW","Populus"
"148",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",28,"",8.6,5.91,"HEROW","Populus"
"149",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",29,"",10.3,5.91,"HEROW","Populus"
"150",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",30,"",7.6,5.91,"HEROW","Populus"
"151",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",31,"",5.8,5.91,"HEROW","Populus"
"152",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",32,"",6.8,5.91,"HEROW","Populus"
"153",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",33,"",7,5.91,"HEROW","Populus"
"154",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",34,"",6.3,5.91,"HEROW","Populus"
"155",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",35,"",7.1,5.91,"HEROW","Populus"
"156",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",36,"",5.6,5.91,"HEROW","Populus"
"157",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",37,"",5.4,5.91,"HEROW","Populus"
"158",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",38,"",8.5,5.91,"HEROW","Populus"
"159",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",39,"",7.7,5.91,"HEROW","Populus"
"160",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",40,"",13,5.91,"HEROW","Populus"
"161",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",41,"",7.4,5.91,"HEROW","Populus"
"162",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",42,"",9.9,5.91,"HEROW","Populus"
"163",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",43,"",6,5.91,"HEROW","Populus"
